89 1150
46 56 2958
53 73 7795
88 35 9811
5 16 3992
21 85 6374
62 84 5319
39 61 8406
79 57 481
45 62 8869
21 39 8067
33 89 6977
11 70 8970
6 36 1622
57 13 108
10 64 3503
32 9 4380
80 50 5603
41 27 9670
54 40 9462
71 50 2836
61 67 2795
58 45 8993
83 54 2869
2 7 9688
19 26 2969
16 39 5104
19 60 3721
63 88 1866
87 51 2516
71 13 2474
77 14 95
27 33 5648
88 37 1217
66 7 935
85 47 8783
33 42 9261
32 49 5028
42 43 3766
15 77 6253
55 15 2844
21 53 8415
6 28 2229
66 25 9177
32 15 9172
54 22 747
79 41 5191
4 10 4977
68 45 2825
55 62 1316
18 61 5881
19 1 7934
13 20 9554
40 49 3954
52 76 935
36 52 8115
35 38 6937
45 6 6369
27 37 3720
89 29 1508
8 61 1531
10 43 5799
25 11 2461
5 2 9352
16 42 3250
36 29 9639
59 22 6438
79 88 9738
38 14 4488
21 42 1673
63 80 3681
9 77 3848
26 86 5433
53 38 8241
49 24 7184
64 39 6017
69 28 5962
33 9 3406
60 16 6521
82 6 3078
50 45 2560
64 22 8875
16 79 466
43 79 7503
74 3 5575
47 72 9407
50 53 2294
39 69 8629
87 25 8742
12 21 3429
23 36 6992
49 5 3705
77 65 7093
28 81 9621
27 24 8409
22 28 9166
26 59 9298
58 32 9882
34 74 1846
19 12 8544
22 46 9280
19 41 1391
28 20 5606
26 72 365
67 77 3535
6 32 8577
84 76 5895
67 56 5238
79 61 9131
59 75 5293
73 21 1578
59 73 2702
81 47 2843
70 24 6344
51 64 2314
33 52 2650
50 66 7251
48 22 9402
58 2 2825
12 53 6516
32 22 7305
66 72 5046
4 81 8884
81 17 649
83 7 4409
33 5 6818
45 25 1727
84 33 3556
38 68 6283
29 16 352
16 10 6457
72 87 8235
16 77 6360
16 61 9812
40 51 4350
8 1 5277
80 73 4477
75 12 9406
45 60 1059
66 39 7185
36 38 5189
17 73 2139
7 41 3932
62 12 4409
11 79 6988
19 38 7178
83 71 3928
68 17 5260
6 7 2174
45 79 3653
10 25 2417
11 2 1373
25 34 7664
56 26 9605
5 83 2520
23 45 1118
78 56 2595
12 44 3216
64 61 7329
3 10 8628
44 67 4201
58 20 7646
49 19 8331
1 29 1226
56 43 837
31 18 750
32 31 8286
77 28 7681
33 22 2576
80 66 9441
24 39 9444
57 43 8644
19 42 8552
54 17 4090
3 36 5497
71 22 7128
34 13 924
69 3 1518
47 79 4096
13 22 9688
74 18 2803
68 52 1329
8 23 1861
75 58 7563
23 82 1956
88 60 1178
67 42 6663
50 27 8930
78 69 9440
86 34 8981
20 42 5383
67 27 2068
45 31 5608
46 14 1020
18 89 8642
66 85 5673
26 17 5315
66 83 8304
54 85 3984
12 55 5997
39 72 2159
27 71 4515
38 13 847
44 34 570
22 5 7462
30 62 4250
29 80 3282
89 84 8382
20 14 889
7 45 799
2 34 5567
58 40 4059
31 44 23
33 56 7622
64 72 7239
72 34 6962
70 71 6546
23 57 3436
6 31 4577
35 36 190
9 45 7703
78 62 1043
83 41 3843
21 88 1887
75 82 5404
55 6 6568
17 82 5932
33 47 4828
51 3 2119
38 28 1057
40 64 1468
45 38 6689
27 77 7649
50 88 1836
10 27 4888
18 59 7298
84 12 7890
49 76 3910
72 7 969
49 50 535
37 63 2390
18 86 7361
73 25 5500
55 14 1129
4 6 4490
16 72 389
22 30 9338
54 33 1373
88 48 9459
49 63 6421
71 42 1830
9 68 4703
12 57 4888
13 48 5696
28 12 4071
40 47 2540
26 47 2068
67 75 7324
38 20 2873
69 82 4745
68 50 2665
21 43 5400
81 51 990
2 36 7218
46 70 518
86 51 1303
2 47 6247
44 45 9419
73 69 7861
38 64 2456
21 48 8253
63 52 7275
21 23 4869
11 78 5889
30 82 9259
18 11 1470
27 42 4392
15 23 6505
28 15 990
48 5 9080
37 49 9980
11 13 4057
32 70 2916
19 2 3242
8 62 2246
75 50 5344
65 18 5760
76 21 2894
30 60 9771
56 37 6973
21 18 6722
53 1 5392
67 6 7191
33 45 406
60 85 3853
48 24 5660
83 61 1611
67 57 7271
54 14 585
56 36 1167
23 86 1992
74 62 153
6 73 6938
41 89 4523
55 21 9463
57 64 728
79 63 9726
29 65 4618
56 57 1052
15 82 2403
72 70 5717
41 51 4657
6 22 5938
72 40 6162
24 82 2530
22 39 4171
41 46 5820
70 23 2850
64 2 4744
47 63 9356
75 19 2592
53 79 4688
4 43 3031
53 72 4441
13 77 3763
48 67 374
71 74 3931
13 53 6747
87 12 5414
67 16 4708
85 79 9602
28 70 6026
18 52 3530
12 25 9459
40 34 6096
46 73 6348
81 1 546
87 11 9400
13 79 2855
9 51 2970
14 28 6149
47 42 3348
55 70 8947
36 59 8968
20 8 1184
88 29 5345
55 57 7757
13 4 1370
86 54 9460
66 1 7381
5 88 6313
4 45 620
68 26 1693
43 17 5490
29 56 414
87 68 9568
81 10 2394
52 35 1622
33 72 3690
18 87 5965
85 83 6971
11 51 9636
73 44 3858
76 27 3621
54 3 6871
14 62 2435
79 5 3399
52 82 7275
64 35 5021
77 22 6759
89 36 5725
8 48 7880
79 72 391
58 41 1478
87 19 7374
63 76 5544
59 70 3031
55 25 3571
66 81 5553
67 11 1209
17 49 5158
32 85 5995
37 33 1108
1 14 41
84 63 9487
9 61 2769
66 88 5642
68 32 7113
68 37 8215
80 68 3883
7 54 2245
30 59 228
51 2 8662
89 61 5027
15 25 68
73 19 6766
71 65 9067
28 71 1047
68 35 1769
45 2 7237
41 3 6387
37 48 6679
60 69 7397
21 14 7851
19 66 2013
63 75 9727
41 43 5289
16 85 1388
29 44 3954
56 24 3984
65 1 1794
24 50 383
27 14 108
89 28 2798
64 26 9937
12 40 3459
33 51 1225
52 72 5239
87 66 4752
22 23 6069
69 67 9534
24 16 2893
36 79 4228
25 29 9215
46 57 9968
84 3 2226
54 89 6056
85 39 6232
22 84 5885
84 35 7487
48 61 4847
59 56 5642
74 40 1758
55 10 8701
67 40 235
5 27 7626
3 78 2155
48 71 3371
55 52 7365
5 86 327
87 83 8742
89 47 1032
55 80 3203
50 2 6650
18 34 4484
79 3 887
63 24 3604
44 13 1393
79 23 7868
11 89 4215
23 61 9295
19 56 7667
57 83 1126
56 1 5069
71 88 3647
69 64 8356
46 69 6145
67 21 4145
4 67 2733
84 61 6259
38 15 5656
56 83 205
59 87 571
63 42 9116
58 43 6334
38 8 7247
69 74 7472
11 52 8166
55 48 9464
2 72 6534
3 30 645
26 57 5558
7 17 4034
53 29 3701
79 9 7381
23 17 9980
47 55 5727
46 72 8930
83 58 9414
19 53 3641
1 20 2665
17 74 4403
21 8 3224
37 75 4227
50 64 1338
9 89 206
14 32 5748
77 71 1537
73 9 5666
56 86 9765
2 10 7655
39 37 3592
66 17 671
13 23 9342
62 52 6514
1 2 4732
47 28 4186
75 21 656
53 46 6226
83 75 6026
79 77 8099
87 64 8292
44 40 4568
23 31 8649
57 53 2561
9 1 3885
36 16 9128
7 3 6838
86 29 7992
6 56 2994
68 54 9631
84 13 5277
11 20 500
36 50 432
67 89 4859
43 31 4096
76 28 3675
69 32 8474
34 21 1299
44 80 931
59 76 7408
5 69 8362
64 75 6146
72 60 7494
40 46 7689
33 11 6464
13 49 1107
84 14 788
45 75 834
18 80 9733
78 20 8587
66 76 817
39 36 8343
28 2 7281
47 88 7623
62 42 2934
21 80 1454
31 89 5072
37 19 7390
1 23 2103
13 42 9529
6 78 6351
35 11 4928
46 66 1764
37 12 1080
16 14 7052
13 27 1496
18 76 7830
50 4 4422
48 6 2721
14 53 2917
15 78 182
89 62 8936
56 53 2760
17 2 7044
57 30 6917
56 41 8645
68 83 6866
73 52 2505
40 82 837
48 7 9203
47 17 7607
59 78 9405
74 45 2680
72 81 6057
81 79 3144
65 66 7825
44 26 7312
10 15 7941
9 17 6361
14 49 5329
24 61 7932
66 58 8454
84 4 8785
55 3 4427
10 6 5887
77 29 2344
34 58 4924
85 62 1519
34 73 2814
54 23 4253
58 78 4588
70 36 9020
72 57 8388
82 36 7507
26 46 9527
89 34 7367
20 4 3448
37 15 4289
4 11 4578
58 82 5899
80 4 5127
16 32 3467
62 2 3423
69 2 8465
20 61 3679
76 58 6186
54 57 5363
2 60 9501
54 58 7307
34 87 3272
47 44 5565
68 86 1251
80 52 1511
69 89 25
47 3 3502
85 14 9030
40 20 6289
80 37 5598
69 12 4880
2 12 8641
48 23 7347
42 61 4909
8 14 3585
16 11 8630
49 66 2994
84 86 6441
6 69 442
18 71 8288
64 17 945
6 75 2769
3 16 8516
72 58 9980
32 73 1363
7 20 6106
81 20 2675
12 32 7505
56 62 2368
43 59 7910
28 39 637
11 71 9000
35 8 423
20 56 5553
15 69 3979
56 44 1661
51 52 2517
58 3 1973
71 61 1503
63 21 8786
40 41 7164
60 32 1340
79 84 3367
17 28 8058
1 89 7479
25 8 1341
85 6 7209
4 22 9470
88 38 3028
59 51 8245
84 36 6645
20 64 3506
33 39 458
65 40 8670
69 19 7929
83 12 382
20 69 7287
86 20 992
17 44 5849
39 48 4025
44 16 1591
15 67 8149
22 31 7942
14 80 4190
6 20 1307
63 64 4943
43 50 3473
25 61 5641
84 31 6724
75 60 7559
8 81 6748
23 64 7844
30 1 7001
27 88 667
34 65 7097
26 75 7694
66 16 4751
41 59 9402
17 86 3250
73 24 2992
19 83 6244
44 52 1937
33 10 1044
45 5 3076
12 52 8217
81 40 1554
38 22 6407
17 87 5859
64 25 366
85 22 6638
70 49 2392
14 87 161
44 58 9785
50 63 301
23 74 1709
2 49 6381
31 30 7401
14 74 846
17 35 8921
83 16 5170
43 80 7049
23 65 5250
46 18 5861
28 60 9233
32 80 9546
14 70 7267
7 46 2251
16 58 7543
67 79 2332
63 18 8010
35 7 3188
39 41 4262
7 88 8908
83 52 543
85 9 4606
2 57 2673
71 25 6080
20 66 9408
26 80 8783
18 13 7143
16 28 8122
86 79 2383
66 28 7195
28 18 4517
49 29 9059
42 10 8551
33 41 8729
54 15 9720
68 15 2851
89 73 8529
1 21 5440
71 5 5701
19 4 6512
86 39 7389
32 54 3478
28 8 2305
18 26 4585
29 33 4274
77 51 5241
70 21 9854
52 20 6544
46 30 4705
81 9 1331
14 42 1471
59 46 2597
34 88 8245
45 37 6123
28 31 1167
76 74 7142
71 68 4177
17 29 7820
58 81 7666
27 19 4583
79 42 1147
51 58 5742
82 78 6839
24 60 2916
32 47 7700
86 89 6854
26 83 5721
17 19 3008
74 43 8193
39 44 4364
32 18 8193
78 1 3630
43 73 5582
16 71 9547
23 80 4965
68 59 1392
13 35 4549
45 80 339
30 68 7493
2 13 4137
81 18 1483
7 43 5073
38 43 1699
21 81 7846
81 88 588
68 34 3308
57 31 6877
61 34 4386
57 88 6640
10 12 6719
80 10 3714
26 34 7278
45 14 5449
35 85 6480
7 68 5889
2 42 2548
73 83 5513
63 6 7981
21 15 2586
13 64 7942
6 51 6817
3 66 1714
21 72 1734
36 41 7054
43 44 4322
41 8 5165
58 50 8800
30 80 7715
20 84 3390
32 67 7277
39 38 1737
61 4 4402
75 73 5059
74 13 1514
68 57 4850
40 23 8882
28 61 778
28 57 890
6 5 8353
88 40 3666
15 6 834
19 62 7381
33 31 738
34 60 6442
2 48 1814
30 78 1121
12 13 195
8 12 5363
21 26 4589
88 43 3278
84 30 6253
5 70 6497
18 50 2303
27 21 878
74 66 9254
6 58 1913
54 76 3814
69 23 3121
84 19 2926
33 61 5947
71 85 5453
78 71 6953
8 37 4238
34 33 4281
35 26 2291
46 27 9586
64 60 7918
7 65 674
18 60 1876
1 36 9593
76 75 1272
50 59 6224
19 67 2915
4 49 3452
53 51 41
88 67 3487
59 42 9845
5 51 8369
38 89 9242
67 37 2544
65 78 1065
75 40 245
26 15 4081
72 14 5253
69 75 9599
5 85 880
74 24 1165
30 25 8013
55 82 3628
43 64 8081
4 3 8383
56 2 9820
29 66 6717
12 58 1299
74 56 1556
53 58 7167
85 7 8235
31 42 5689
62 5 386
6 19 3967
42 7 4273
32 57 4439
43 1 9246
24 58 7963
33 78 9386
89 23 1065
58 80 8417
22 20 2631
89 8 9790
62 68 7766
73 1 5750
24 6 3998
72 61 4908
87 46 3045
41 48 6688
3 80 7714
53 77 5411
27 31 1446
36 80 1253
44 10 9942
36 58 9250
32 13 668
25 19 192
88 31 4613
75 20 2226
85 13 7287
62 21 4736
42 65 5046
22 40 9311
12 38 5667
31 80 2458
41 34 1443
3 72 3507
77 43 7843
59 74 6483
84 34 294
30 49 7306
56 54 6293
33 6 7763
62 33 3602
46 84 217
70 37 3914
82 51 5883
89 57 8174
19 3 9832
49 45 1222
19 81 6088
79 28 3668
75 87 5323
53 9 9001
11 72 9425
52 42 1075
61 55 678
39 81 3914
34 69 5195
9 72 3622
67 36 5136
88 56 9877
0 0
